annotation_id,company_id,section_key,target_kind,target_key,fiscal_year,text,source_id,updated_at
dena-segment-reorganization-2026,dena,financials,section,,2026,2026年3月期は「新規事業・その他」に含まれていたスマートシティ事業をスポーツ事業と合算し、「スポーツ・スマートシティ事業」として表示しています。前連結会計年度のセグメント情報も組み替え後の区分で表示されています。,edinet-s100yldv,2026-08-02
gree-segment-reorganization-2025,gree,financials,section,,2025,2025年6月期は、コマース事業をDX事業へ統合し、アニメ・ライセンス関連事業などをIP事業として新設しました。「ゲーム・アニメ事業」は「ゲーム事業」へ名称変更され、前連結会計年度の数値も変更後の区分に組み替えられています。,edinet-s100wqwx,2026-08-02
kakaku-com-revenue-breakdown-2026,kakaku-com,financials,section,,2026,2026年3月期はインキュベーション事業のサービス種類の内訳表示を変更し、前連結会計年度も変更後の区分に基づいて表示しています。,edinet-s100ybgn,2026-08-02
mixi-accounting-reclassification-2023,mixi,financials,section,,2023,2023年3月期の期首から投資事業に関する投資有価証券、収益及び費用の計上区分を変更しており、2022年3月期の主要な連結経営指標は遡及適用後の数値です。,edinet-s100ye1d,2026-08-02
amazon-com-disclosure-scope,amazon-com,financials,section,,,表示する財務指標はAmazon.com Inc.の連結業績であり、アマゾン ウェブ サービス ジャパン合同会社の単体業績ではありません。通貨は米ドル、会計基準はUS GAAP、会計年度末は12月31日です。,sec-0001018724-26-000004,2026-08-02
mitsubishi-heavy-industries-business-profit,mitsubishi-heavy-industries,financials,metric,business_profit,,事業利益はIFRSの任意表示利益で、当社は営業利益を開示していません。売上収益から売上原価・販売費及び一般管理費を控除し、持分法による投資損益とその他の収益・費用を加減した金額です。日本基準の営業利益とは範囲が異なります。,edinet-s100yhzg,2026-08-02
mitsubishi-heavy-industries-discontinued-operations,mitsubishi-heavy-industries,financials,section,,,2026年3月期に三菱ロジスネクスト株式会社（現 株式会社ロジスネクスト）及びその子会社・関連会社に係る事業を非継続事業へ分類しました。売上収益・事業利益は2025年3月期と2026年3月期が継続事業の金額で、2024年3月期以前は非継続事業を含んだ金額のため、その間の増減はそのまま比較できません。,edinet-s100yhzg,2026-08-02
kawasaki-heavy-industries-business-profit,kawasaki-heavy-industries,financials,metric,business_profit,,事業利益はIFRSの任意表示利益で、当社は営業利益を開示していません。セグメント利益も事業利益で開示されています。日本基準の営業利益とは範囲が異なります。,edinet-s100y99z,2026-08-02
kawasaki-heavy-industries-ifrs-transition,kawasaki-heavy-industries,financials,section,,,2022年度（2023年3月期）よりIFRSに基づいて連結財務諸表を作成しています。2022年3月期のIFRS数値は有価証券報告書の連結経営指標等に参考として掲載された金額で、同期の日本基準の開示値とは自己資本比率などが一致しません。,edinet-s100y99z,2026-08-02
ihi-business-transfers-2026,ihi,financials,section,,2026,2026年3月期に、運搬機械事業を2025年7月1日付で株式会社タダノへ、株式会社IHI建材工業の全株式を2025年10月1日付で株式会社ベルテクスコーポレーションへ、新潟トランシス株式会社の全株式を2025年12月30日付で株式会社ジェイ・ケイ・エフへ譲渡しました。社会基盤および産業システム・汎用機械セグメントの推移にはこれらの事業譲渡が影響しています。,edinet-s100yent,2026-08-02
ly-corporation-segment-reorganization-2026,ly-corporation,financials,section,,2026,2026年3月期第3四半期から組織再編に伴うサービスのセグメント間移管があり、前連結会計年度のセグメント情報と売上収益は変更後の区分で修正再表示されています。,edinet-s100ybxd,2026-08-05
ly-corporation-current-classification-2026,ly-corporation,financials,section,,2026,連結財政状態計算書の流動性指標は金融事業を含むため、2026年3月期のcurrent_assets・current_liabilitiesを12ヶ月以内区分から記録しています。当座資産は同区分から棚卸資産を除外した値です。,edinet-s100ybxd,2026-08-05
mercari-operating-cf-fintech,mercari,financials,metric_group,cash_flow,,営業CFが通年マイナスとなる主因は、メルペイ・メルカード等の金融事業に伴う営業債権（TradeAndOtherReceivables）の増加です。第13期（2025年6月期）は営業利益278億円の黒字でしたが、営業債権の増減が▲595億円のキャッシュ減少要因となり、営業CFは▲119億円となりました。2025年6月末の営業債権残高は2547億円で、マーケットプレイス事業者と金融事業を併営する特性上、一般事業会社のキャッシュフロー解釈はそのまま適用できません。,edinet-s100wqdw,2026-08-05
recruit-holdings-segment-restatement-2026,recruit-holdings,financials,section,,2026,2026年3月期の有価証券報告書（S100YDHL）で2025年3月期の報告セグメント区分が組替えられ、HRテクノロジー事業の売上が約2446億円増加しマーケティング・マッチング・テクノロジー事業が同額減少している。2025年度のセグメント数値は組替え後の値（S100YDHL Prior1Year）、2024年度以前は組替え前の値（S100VZG5 CurrentYear等）のため、セグメント間の前年比較はそのままではできない。,edinet-s100ydhl,2026-08-05
recruit-holdings-operating-profit-ifrs,recruit-holdings,financials,metric,operating_profit,,IFRSを適用し、営業利益相当額として「営業利益（△損失）（IFRS）」（jpigp_cor:OperatingProfitLossIFRS）を開示している。事業利益（BusinessProfitLossIFRS）は開示していないため、operating_profitを採用した。セグメント利益はEBITDA+S。,edinet-s100ydhl,2026-08-05
recruit-holdings-quick-assets-ifrs,recruit-holdings,financials,metric,quick_assets,,当座資産は流動資産から棚卸資産を控除して算定。リクルートホールディングスはサービス業のためIFRS貸借対照表に棚卸資産科目がなく、当座資産は流動資産と同額。2022年度は取得した3期分の有価証券報告書のいずれにも流動資産の開示がないため算定不可としている。,edinet-s100ydhl,2026-08-05
cyberagent-fiscal-year-change,cyberagent,financials,section,,,サイバーエージェントは2020年4月1日付で決算期を3月末日から9月末日に変更し、2020年4月1日から9月30日までの6ヶ月間を暫定決算期間として扱った。そのためfiscal_year=2020（最後の3月決算、2019年4月〜2020年3月の12ヶ月）とfiscal_year=2021（最初の9月決算、2020年10月〜2021年9月の12ヶ月）の間に6ヶ月の暫定決算期間が挟まり、この期間の数値は5期サマリに含まれないため指標として登録していない。CSVのperiod_end列は最新の有価証券報告書の期末日（9月30日）を基準に年度ラベルを作っているため、fiscal_year=2019以前（3月決算）のperiod_endも9月30日表記になるが、実態は各年3月31日が期末。,edinet-s100xcu9,2026-08-05
cyberagent-segment-reorganization-2025,cyberagent,financials,section,,2025,2025年9月期（第28期）より報告セグメントの区分を変更し、「その他事業」を「メディア事業」へ統合した上で、アニメ等のIP事業拡大を目的に従来の「メディア事業」を「メディア&IP事業」に改称した。これに伴い2024年9月期のセグメント情報も新区分（メディア&IP・インターネット広告・ゲーム・投資育成の4事業）に組替えて開示している。2023年9月期以前は旧区分（インターネット広告・ゲーム・投資育成の3事業のみで、メディア&IP相当は「その他」として開示対象外）のため、メディア&IP事業の数値は2024年9月期以降のみ。,edinet-s100xcu9,2026-08-05
cyberagent-quick-assets-jgaap,cyberagent,financials,metric,quick_assets,,当座資産は連結流動資産から棚卸資産（商品＋仕掛品＋その他）を控除して算定。サイバーエージェントの棚卸資産はゲーム子会社（Cygames等）のスマートフォン向けゲーム関連が中心で、流動資産に占める割合は1.5〜3.2%程度と小さく、当座資産は流動資産とほぼ同額になる。,edinet-s100xcu9,2026-08-05
