company_id,segment_id,description
recruit-holdings,hr-technology,IndeedやGlassdoorなどの求人マッチング基盤を通じて企業の採用活動と求職者の仕事探しを支援します。
recruit-holdings,staffing,日本・欧州・米国・豪州で事務職や製造職、専門職などの人材派遣サービスを提供します。
recruit-holdings,marketing-matching-technologies,国内の人材・住宅・美容・旅行・飲食領域のマッチングサービスとAirビジネスツールズなどの業務支援SaaSを提供します。
ly-corporation,media,Yahoo! JAPANやLINEを基盤に検索・ディスプレイ広告、ニュース、コンテンツなどを提供します。
ly-corporation,commerce,ショッピングやオークション、旅行などのECサービスを展開します。
ly-corporation,strategy,決済・クレジット・銀行などの金融サービスを中心に事業を展開します。
mercari,japan,フリマアプリ「メルカリ」とメルペイ・メルカードなどのFintechサービスを国内で展開します。
mercari,us,米国向けマーケットプレイス「Mercari」を運営します。
cyberagent,media-and-ip,ABEMAやAmeba、周辺のIP・コンテンツサービスを開発・運営します。
cyberagent,internet-advertising,広告配信・運用、AIを活用した広告制作、企業のDX支援を提供します。
cyberagent,game,複数の開発子会社を通じてスマートフォン向けゲームを企画・開発・運営します。
cyberagent,investment-development,スタートアップや成長企業への投資・育成を行います。
ntt-data-group,japan,官公庁・金融・法人向けにコンサルティング、システム開発、運用サービスを国内で提供します。
ntt-data-group,overseas,海外市場でコンサルティング、ITインフラ、アプリケーション、データセンターなどを提供します。
scsk,industrial-it,製造・通信・エネルギー・流通などの企業向けに基幹システムや組み込みソフトウェアを提供します。
scsk,financial-it,銀行・保険・証券などの金融機関向けシステムを開発・運用します。
scsk,it-solution,ERPなどの業務パッケージ導入とBPOサービスを提供します。
scsk,it-platform,ITインフラやセキュリティ、CAD・CAE関連の製品と技術サービスを提供します。
scsk,it-management,データセンターやクラウドを基盤としたシステム運用・管理サービスを提供します。
ntt,integrated-ict,携帯電話・光回線などの通信に加えて金融・コンテンツ・法人向けICTを提供します。
ntt,global-solutions,コンサルティング、ITソリューション、システム開発、データセンターをグローバルに提供します。
ntt,regional-communications,NTT東日本・西日本を中心に地域向け光サービス、固定電話、法人サービスを提供します。
ntt,other,不動産やエネルギーなど通信・IT以外の事業を展開します。
kddi,personal,au・UQ mobile・povoの通信を中心に金融、エネルギー、生活関連サービスを個人向けに提供します。
kddi,business,法人向けに通信、ネットワーク、クラウド、IoT、データセンターなどを提供します。
hitachi,digital-systems-services,システムインテグレーション、クラウド、コンサルティング、ストレージなどのデジタルサービスを提供します。
hitachi,energy,送配電網や原子力を含むエネルギー関連の製品・サービスを提供します。
hitachi,mobility,鉄道車両・信号・保守などの鉄道システムをグローバルに提供します。
hitachi,connective-industries,ビル設備、家電、産業機器、計測・分析、産業・流通向けソリューションを提供します。
sakana-ai,research,"自然界の集合的知性にヒントを得た最先端研究を世界発信。AI Scientist（研究の仮説立案から論文執筆まで自律するマルチエージェント・2026年3月Nature掲載）、Darwin Gödel Machine（SWE-benchでベースライン性能を2倍以上に向上）、ShinkaEvolve、AB-MCTS（NeurIPS 2025 spotlight）など。論文公開やオープンソースで成果を還元します。"
sakana-ai,applied,"基盤モデルの能力を複雑な現場業務につなげる事業組織。金融（与信・審査・M&A・資金調達・提案書や稟議書の文書業務）、防衛・インテリジェンス（防衛装備庁の委託研究・指揮統制の意思決定支援・サイバー・認知領域への対処）、製造へ展開。複数モデルの適材適所と複雑な推論技術・暗黙知の抽出を用いてソリューションを設計・実装します。三菱UFJ銀行・SMFG・大和証券・防衛装備庁・総務省との取組が公開されています。"
sakana-ai,product,"Sakana Chat・Sakana Marlin・Sakana Fugu・Sakana Translate などのユーザー向けAIプロダクトと、日本向けLLM「Namazu」の開発・提供を行います。"
sakana-ai,corporate,finance・legal・HR・operations により事業を支援する管理部門です。
preferred-networks,chips,"AIに特化したプロセッサー MN-Core シリーズを神戸大学と共同開発。AI向け計算の省電力・高速化を実現する自社半導体事業です。"
preferred-networks,computing,"AI向け計算基盤を自社で構築・運用し、クラウドサービス PFCP として提供。自社開発のスーパーコンピュータ MN-3 は電力効率を評価する Green500 で世界1位を3度獲得しています。"
preferred-networks,genai,"国産大規模言語モデル PLaMo と特化型モデルをフルスクラッチで開発。商用フラッグシップ PLaMo Prime、エッジデバイス向け小規模言語モデル（SLM）、日英翻訳特化の PLaMo翻訳、金融特化 PLaMo-Fin-Prime などを提供。経産省・NEDOのGENIAC成果の一部をHugging Faceで公開しています。"
preferred-networks,solutions,"製造・素材・化学品・ライフサイエンス・エンタメ・小売・流通・金融・公共サービス・インフラ・教育・エンタープライズの各業界向けにAIプロダクト・ソリューションを開発。ファナック（産業用ロボット）・ENEOS（プラント自動化）・中外製薬（実験自動化）・Matlantis（材料探索）などと事業共創します。"
fixstars,performance,"AI/LLMの学習・推論高速化、GPU利用率改善、ソフトウェア最適化を体系的に追求しビジネス成果に変換する中核事業。100社以上の顧客をリピート率99%以上で支援し、自動車・HPC・金融・鉱業など多様な領域の事例があります。"
fixstars,ai-products,"GPUサーバーに導入してAI/LLMワークロードのボトルネックを可視化・改善する Fixstars AIBooster、届いてすぐ使えるセキュアなローカルLLM環境 Fixstars AIStation、ソースコードを外部に出さない組込みAI開発環境 Fixstars Vega などを提供します。"
fixstars,quantum,様々なマシン・ソルバーに対応する量子×最適化プラットフォーム Fixstars Amplify や、量子計算活用支援を提供します。
fixstars,fpga-flash,"FPGAシステム開発、フラッシュメモリ向けファームウェア開発など、ハードウェアに近い専門領域の受託開発。マルチコアプロセッサ関連事業を起源とし、キオクシア・ルネサスなどが主要取引先です。"
